name,address,phone,url
1 South Vape,"485 U.S. 1, Edison, NJ 08817, USA",(732) 640-1500,https://www.facebook.com/1SouthVape-509261352572745/
23 South,"23 South, 23 South Street, Morristown, NJ 07960, USA",(973) 590-2500,no url given
25 Silver Boutique,"197 Canada Street, Lake George, NY 12845, USA",(518) 668-0400,http://25silverboutique.com/canada-street-lake-george-ny/
25 Silver Boutique- Yorktown Center,"203 Yorktown Center, Lombard, IL 60148, USA",(630) 495-3238,http://25silverboutique.com/yorktown-center/
2U Delivery,"9895 South Maryland Parkway, Unit C, Las Vegas, NV 89183, USA",(725) 600-1010,no url given
55 Design,"239 West 148th Street, Suite 4S, New York, NY 10039, USA",no phone given,no url given
688 Boutique,"688 Somerset Street, Watchung, NJ 07069, USA",(908) 456-3380,no url given
7 Chakras,"380B Middlesex Avenue, Wilmington, MA 01887, USA",(978) 447-1855,https://www.7chakrasco.com/
8 Ink Studios,"685 West Calle Ocarina, Sahuarita, AZ 85629, USA",no phone given,no url given
A Buddy Indeed,"5 River Road, East Haven, CT 06512, USA",no phone given,no url given
Ace Hardware of Gray,"P.O. Box 1449, Gray, GA 31032, USA",(478) 986-9200,https://www.aceofgray.com/
Action Chiropractic,"3254 East Cactus Road, Phoenix, AZ 85032, USA",(602) 867-9898,http://www.actionchirorehab.com/
"Acupuncture In Tallahassee, P.L.","2931 Kerry Forest Parkway, Tallahassee, FL 32309, USA",(850) 536-5854,http://acupunctureintallahassee.com/
"Aegean International, Inc.","100 Lyell Street, Los Altos, CA 94022, USA",no phone given,no url given
A Heart For Art,"28 State Street, Shelburne Falls, MA 01370, USA",(413) 824-0753,https://www.facebook.com/aheartforart28/
Airport Retail Group,"4300 Glumack Drive, Saint Paul, MN 55111, USA",no phone given,no url given
"AJ's Coastal Bliss District, LLC","1350 US-501, Business Unit 8, Conway, SC 29526, USA",(843) 284-3551,https://ajscoastalblissdistrict.com/
Alamo Botanicals,"19141 Stone Oak Parkway, 301, San Antonio, TX 78258, USA",(210) 444-9026,https://www.alamobotanicals.com/
Alapage,"25 South River Road, Unit 30, Bedford NH, 03110, USA",(603) 622-0550,https://www.alapageboutique.com/
Alaska Green Cross,"211 East Diamond, Unit A, Anchorage, AK 99503, USA",no phone given,no url given
Albor Medical Solutions,"834 Grant Avenue, Novato, CA 94945, USA",(415) 895-5530,http://www.albormedical.com/
Alexander's Salon and Spa,"431 Lackawanna Avenue, Scranton, PA 18503, USA",(570) 341-5250,https://www.alexandersspa.com/
Allentown Pharmacy,"416 West Tilghman Street, Allentown, PA 18102, USA",(610) 351-1900,http://theallentownpharmacy.com/contactus.aspx
"Allied Distribution Group, LLC","11907 West Dearbourn Avenue, Wauwatosa, WI 53226, USA",no phone given,no url given
Allure Plastic Surgery,"194 Route 35, Red Bank, NJ 07701, USA",(732) 707-1932,https://www.allurenj.com/
"Aloha Is Contagious, LLC","73-4343 Malie Place, Kailua-Kona, HI 96740, USA",no phone given,no url given
Altman Family Chiropractic,"2106 New Road, Linwood Commons, Suite D2, Linwood, NJ 08221, USA",(609) 927-7922,https://www.drmatthewaltman.com/
